Tibetan,English
﻿༄༅༅། །རྒྱ་གར་སྐད་དུ། བོ་དྷི་སཏྭ་ཙརྱ་ཨ་བ་ཏཱ་ར།,In the Indian language: Bodhisattvacaryāvatāra
བོད་སྐད་དུ། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།,In Tibetan: Engaging in the Conduct of a Bodhisattva
སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། །,I prostrate to all the Buddhas and Bodhisattvas.
བདེ་གཤེགས་ཆོས་ཀྱི་སྐུ་མངའ་སྲས་བཅས་དང་། །ཕྱག་འོས་ཀུན་ལའང་གུས་པར་ཕྱག་འཚལ་ཏེ། །,"I respectfully bow to the Dharmakaya of the Sugatas and their spiritual heirs,<br>And to all who are worthy of veneration."
བདེ་གཤེགས་སྲས་ཀྱི་སྡོམ་ལ་འཇུག་པ་ནི། །ལུང་བཞིན་མདོར་བསྡུས་ནས་ནི་བརྗོད་པར་བྱ། །,"Entering into the vows of the Sons of the Sugatas,<br>I will briefly explain according to scripture."
སྔོན་ཆད་མ་བྱུང་བ་ཡང་འདིར་བརྗོད་མེད། །,Nothing that has not occurred before is spoken of here.
སྡེབ་སྦྱོར་མཁས་པའང་བདག་ལ་ཡོད་མིན་ཏེ། །དེ་ཕྱིར་གཞན་དོན་བསམ་པ་བདག་ལ་མེད། །,"I do not possess the skill of poetic composition.<br>Therefore, I have no thought of benefiting others."
རང་གི་ཡིད་ལ་བསྒོམ་ཕྱིར་ངས་འདི་བརྩམས། །,I composed this for the purpose of meditating in my own mind.
དགེ་བ་བསྒོམ་ཕྱིར་བདག་གི་དད་པའི་ཤུགས། །འདི་དག་གིས་ཀྱང་རེ་ཞིག་འཕེལ་འགྱུར་ལ། །བདག་དང་སྐལ་བ་མཉམ་པ་གཞན་གྱིས་ཀྱང་། །ཅི་སྟེ་འདི་དག་མཐོང་ན་དོན་ཡོད་འགྱུར། །,"In order to cultivate virtue, may my power of faith<br>Be increased for now by these [teachings].<br>And if others of equal fortune to myself<br>Should see these, may they find meaning and purpose."
དལ་འབྱོར་འདི་ནི་རྙེད་པར་ཤིན་ཏུ་དཀའ། །,This human life of leisure and opportunity is extremely difficult to obtain.
སྐྱེས་བུའི་དོན་སྒྲུབ་ཐོབ་པར་གྱུར་པ་ལ། །གལ་ཏེ་འདི་ལ་ཕན་པ་མ་བསྒྲུབས་ན། །ཕྱིས་འདི་ཡང་དག་འབྱོར་པར་ག་ལ་འགྱུར། །,"If one does not accomplish what is beneficial in this life,<br>How will one achieve genuine prosperity in the future?<br>For accomplishing the purpose of beings,<br>One must attain what is truly meaningful."
ཇི་ལྟར་མཚན་མོ་མུན་ནག་སྤྲིན་རུམ་ན། །གློག་འགྱུ་སྐད་ཅིག་རབ་སྣང་སྟོན་པ་ལྟར། །དེ་བཞིན་སངས་རྒྱས་མཐུ་ཡིས་བརྒྱ་ལམ་ན། །འཇིག་རྟེན་བསོད་ནམས་བློ་གྲོས་ཐང་འགའ་འབྱུང་། །,"Just as on a dark, cloudy night,<br>A flash of lightning briefly illuminates all,<br>Likewise, by the power of the Buddha,<br>Worldly merit and wisdom occasionally arise for a moment."
དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག །སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ། །དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ། །དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར། །,"tags:<br><br><t><br>Therefore, virtue is always weak and feeble,<br>While evil is powerful and utterly unbearable.<br>Except for the perfect mind of enlightenment,<br>What other virtue could overcome it?"
བསྐལ་པ་དུ་མར་རབ་དགོངས་མཛད་པ་ཡི། །ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་གཟིགས། །,"The Mighty Sages, who have contemplated deeply for many eons,<br>Have seen that this very [teaching/practice] is beneficial."
འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས། །བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད། །,"Through this, countless multitudes of beings<br>Easily attain supreme bliss."
སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་། །སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་། །བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་པར་འདོད་པས་ཀྱང་། །བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ། །,"Wishing to destroy the hundreds of sufferings of existence,<br>Desiring to remove the unhappiness of sentient beings,<br>And longing to experience hundreds of joys,<br>Never abandon bodhicitta (the awakening mind)."
བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས། །འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས། །བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་། །འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར། །,"tags:<br><br><t><br>When bodhicitta arises, in an instant,<br>Those wretched beings bound in samsara's prison<br>Are called children of the Sugatas,<br>And become worthy of homage by gods and humans of the world."
